iter	Passed	Remaining
0	138	27584
1	139	13815
2	140	9217
3	141	6915
4	141	5513
5	142	4596
6	142	3939
7	143	3447
8	144	3063
9	145	2756
10	146	2510
11	146	2301
12	147	2124
13	148	1973
14	149	1841
15	150	1727
16	151	1628
17	152	1536
18	152	1454
19	153	1380
20	154	1313
21	154	1252
22	155	1197
23	156	1144
24	156	1097
25	157	1054
26	158	1014
27	159	976
28	159	941
29	160	909
30	161	879
31	162	852
32	163	826
33	164	801
34	164	776
35	165	754
36	166	732
37	166	711
38	167	692
39	168	673
40	169	655
41	169	638
42	170	622
43	171	607
44	172	592
45	172	578
46	173	564
47	174	551
48	175	539
49	175	527
50	176	516
51	177	505
52	178	494
53	179	484
54	179	474
55	180	464
56	181	455
57	182	445
58	182	437
59	183	428
60	184	420
61	185	411
62	185	403
63	186	396
64	187	388
65	187	381
66	188	374
67	189	367
68	190	360
69	190	354
70	191	348
71	192	342
72	193	336
73	194	331
74	195	326
75	196	320
76	197	315
77	198	310
78	199	305
79	200	300
80	201	295
81	201	290
82	202	285
83	203	281
84	204	276
85	205	272
86	206	267
87	207	263
88	208	259
89	209	255
90	210	251
91	211	247
92	211	243
93	212	239
94	213	236
95	214	232
96	215	229
97	216	225
98	217	222
99	218	218
100	219	215
101	220	211
102	221	208
103	222	204
104	223	201
105	224	198
106	225	195
107	226	192
108	227	189
109	228	186
110	229	183
111	230	180
112	231	177
113	231	174
114	232	172
115	233	169
116	234	166
117	235	163
118	236	160
119	237	158
120	238	155
121	239	152
122	240	150
123	240	147
124	241	145
125	242	142
126	243	140
127	244	137
128	245	135
129	246	132
130	247	130
131	248	127
132	249	125
133	250	123
134	250	120
135	251	118
136	252	116
137	253	114
138	254	111
139	255	109
140	256	107
141	257	105
142	258	102
143	259	100
144	260	98
145	260	96
146	261	94
147	262	92
148	263	90
149	264	88
150	265	86
151	266	84
152	267	82
153	268	80
154	269	78
155	270	76
156	271	74
157	272	72
158	273	70
159	273	68
160	274	66
161	275	64
162	276	62
163	277	60
164	278	59
165	279	57
166	280	55
167	280	53
168	281	51
169	282	49
170	283	48
171	285	46
172	286	44
173	287	43
174	288	41
175	289	39
176	290	37
177	291	36
178	292	34
179	292	32
180	293	30
181	294	29
182	295	27
183	296	25
184	297	24
185	297	22
186	298	20
187	299	19
188	300	17
189	301	15
190	302	14
191	303	12
192	304	11
193	305	9
194	306	7
195	307	6
196	307	4
197	308	3
198	309	1
199	310	0
