iter	RMSE
0	9.003163144
1	8.807650629
2	8.624202192
3	8.445557067
4	8.274167989
5	8.108286966
6	7.952270986
7	7.804549024
8	7.676758813
9	7.538740607
10	7.412018718
11	7.289662045
12	7.172694469
13	7.06737791
14	6.9603407
15	6.850205317
16	6.751339574
17	6.657203846
18	6.567809077
19	6.477999449
20	6.395851358
21	6.319299214
22	6.250905421
23	6.179752774
24	6.112947123
25	6.05156359
26	5.989546925
27	5.935921259
28	5.884289821
29	5.839361692
30	5.786299874
31	5.734183883
32	5.691204249
33	5.647568883
34	5.606497338
35	5.572346944
36	5.538670744
37	5.507098266
38	5.474389578
39	5.444204582
40	5.415068655
41	5.387429428
42	5.358526392
43	5.334050065
44	5.30782199
45	5.285113586
46	5.260316228
47	5.241634958
48	5.222271922
49	5.203347792
50	5.186518278
51	5.172162692
52	5.156147228
53	5.140736024
54	5.12729984
55	5.113673412
56	5.100266903
57	5.087255063
58	5.076434824
59	5.065483918
60	5.049046628
61	5.038736985
62	5.030233099
63	5.018824053
64	5.007915813
65	5.000992276
66	4.991638027
67	4.984687222
68	4.977939421
69	4.970665896
70	4.96117575
71	4.952542299
72	4.947820813
73	4.936177358
74	4.930803249
75	4.925738793
76	4.921414877
77	4.916013812
78	4.910368363
79	4.907556494
80	4.904196977
81	4.900451214
82	4.89457693
83	4.890287139
84	4.887529056
85	4.883732508
86	4.880027055
87	4.87656444
88	4.873459384
89	4.871370342
90	4.867815255
91	4.866129821
92	4.863418089
93	4.861045389
94	4.85912968
95	4.857020204
96	4.855431417
97	4.852618009
98	4.850082373
99	4.847872243
100	4.84707899
101	4.844860493
102	4.838524331
103	4.83685889
104	4.836034986
105	4.832039132
106	4.830782915
107	4.829235478
108	4.825953482
109	4.824676049
110	4.820510534
111	4.819845284
112	4.812124293
113	4.81098375
114	4.807605931
115	4.806259481
116	4.80537604
117	4.802727274
118	4.800250751
119	4.791699718
120	4.789672528
121	4.788264101
122	4.78713385
123	4.78549276
124	4.783662747
125	4.782888609
126	4.781673113
127	4.777417774
128	4.776353143
129	4.76905458
130	4.764480545
131	4.762100948
132	4.759531035
133	4.75680597
134	4.752662927
135	4.75226906
136	4.747310526
137	4.746873893
138	4.745783401
139	4.744212653
140	4.74355939
141	4.739443933
142	4.738771405
143	4.736272181
144	4.735676846
145	4.734814549
146	4.731527567
147	4.730092923
148	4.726818877
149	4.722488146
150	4.721717485
151	4.720084173
152	4.717727442
153	4.717154187
154	4.711698753
155	4.710845775
156	4.707928142
157	4.704345356
158	4.702901448
159	4.700955772
160	4.700289845
161	4.698999037
162	4.697549536
163	4.695881454
164	4.695367258
165	4.694426803
166	4.689365347
167	4.686590422
168	4.685299407
169	4.679583915
170	4.677425067
171	4.675717512
172	4.67244269
173	4.668544443
174	4.667361121
175	4.664715268
176	4.66321085
177	4.660967928
178	4.660324614
179	4.659261212
180	4.658442371
181	4.656578376
182	4.654326079
183	4.650159305
184	4.647642513
185	4.646883143
186	4.645482476
187	4.641793434
188	4.640713545
189	4.639368069
190	4.636529163
191	4.632693593
192	4.631102355
193	4.62811999
194	4.62374764
195	4.621414369
196	4.61967574
197	4.616422105
198	4.613399069
199	4.611419806
200	4.608385611
201	4.605649355
202	4.599925775
203	4.598753184
204	4.596748243
205	4.594467504
206	4.590388584
207	4.586470415
208	4.582730732
209	4.581374867
210	4.579730462
211	4.577949823
212	4.576161601
213	4.573740053
214	4.570790045
215	4.569738818
216	4.565544208
217	4.561845134
218	4.558593132
219	4.557774314
220	4.556851424
221	4.555202478
222	4.553393969
223	4.551104117
224	4.54793061
225	4.544456701
226	4.541048429
227	4.537614978
228	4.536439782
229	4.531923862
230	4.530118791
231	4.526854914
232	4.524400758
233	4.522766276
234	4.521302877
235	4.519564182
236	4.51786512
237	4.516174941
238	4.512978001
239	4.511860918
240	4.509689913
241	4.506978447
242	4.506548554
243	4.505156927
244	4.502643942
245	4.501573232
246	4.499588815
247	4.498452817
248	4.497368867
249	4.495804061
250	4.492912247
251	4.49142086
252	4.488647591
253	4.487779897
254	4.485415271
255	4.482749119
256	4.481866773
257	4.479385926
258	4.4770342
259	4.47473507
260	4.473104618
261	4.471857878
262	4.469671746
263	4.46771052
264	4.466845365
265	4.464802876
266	4.463618523
267	4.462886767
268	4.460922727
269	4.458928318
270	4.457750645
271	4.457279122
272	4.456114441
273	4.455355251
274	4.454732587
275	4.453832122
276	4.453377688
277	4.452510215
278	4.451715995
279	4.450991102
280	4.449894719
281	4.449123606
282	4.448071746
283	4.44726902
284	4.446398177
285	4.445400566
286	4.44134093
287	4.439413134
288	4.438376135
289	4.436519501
290	4.435768167
291	4.43501142
292	4.434240476
293	4.429181896
294	4.428188694
295	4.427359021
296	4.423516138
297	4.422665409
298	4.42097134
299	4.417615485
300	4.416215803
301	4.413882084
302	4.412580262
303	4.411887407
304	4.409116217
305	4.408502302
306	4.406911228
307	4.406264488
308	4.404057087
309	4.403230483
310	4.399631418
311	4.398708216
312	4.396551781
313	4.395883335
314	4.395080434
315	4.394117205
316	4.392479803
317	4.391885798
318	4.390989433
319	4.389411894
320	4.388829888
321	4.387927006
322	4.387102984
323	4.385150417
324	4.384609049
325	4.383280403
326	4.381897266
327	4.381014505
328	4.379742643
329	4.378756625
330	4.377325189
331	4.376566775
332	4.374117615
333	4.37336021
334	4.372793028
335	4.371444639
336	4.370622832
337	4.369949221
338	4.369214083
339	4.36848523
340	4.367762765
341	4.366462295
342	4.36295191
343	4.358300948
344	4.355742279
345	4.355203004
346	4.354490425
347	4.353790262
348	4.353102297
349	4.351550355
350	4.350837857
351	4.347980045
352	4.346262069
353	4.345594936
354	4.34442933
355	4.34323852
356	4.341568141
357	4.340841163
358	4.340185024
359	4.337921078
360	4.337019786
361	4.336111767
362	4.333948197
363	4.331763361
364	4.330970407
365	4.330106301
366	4.328123232
367	4.325979104
368	4.324392622
369	4.32382519
370	4.322848239
371	4.322377621
372	4.32189868
373	4.320950871
374	4.319382481
375	4.317292026
376	4.316897289
377	4.316448665
378	4.315714148
379	4.315222612
380	4.312266209
381	4.310019872
382	4.309424752
383	4.308774882
384	4.308187828
385	4.307864759
386	4.307094924
387	4.306461985
388	4.305851762
389	4.305182315
390	4.304060867
391	4.303619402
392	4.302952394
393	4.302306907
394	4.301223725
395	4.299670447
396	4.299101716
397	4.298263247
398	4.297813207
399	4.2949257
400	4.2945047
401	4.292051013
402	4.291173263
403	4.290176036
404	4.286876524
405	4.285249698
406	4.282055536
407	4.280653754
408	4.279156899
409	4.278827556
410	4.278426435
411	4.276010105
412	4.275236906
413	4.273290007
414	4.272625983
415	4.269771204
416	4.268347412
417	4.267483489
418	4.266352393
419	4.26580073
420	4.263157832
421	4.262253674
422	4.261515588
423	4.261083409
424	4.257985567
425	4.257476813
426	4.256865423
427	4.254143697
428	4.253632459
429	4.252976921
430	4.250878617
431	4.248067688
432	4.247175316
433	4.246292001
434	4.245516458
435	4.245251775
436	4.244183709
437	4.24155974
438	4.241177897
439	4.23860179
440	4.238185593
441	4.237640648
442	4.23648919
443	4.23564175
444	4.233978151
445	4.231600391
446	4.230147258
447	4.22978438
448	4.229087411
449	4.228541232
450	4.227650542
451	4.226467892
452	4.225949198
453	4.225465378
454	4.224885465
455	4.222371151
456	4.221869199
457	4.219527902
458	4.218908134
459	4.218306995
460	4.216006826
461	4.213739254
462	4.212885707
463	4.211583152
464	4.211095835
465	4.210548775
466	4.20971687
467	4.209341905
468	4.206895884
469	4.206118333
470	4.205700953
471	4.203436248
472	4.202637539
473	4.202339132
474	4.200114328
475	4.197723113
476	4.196910998
477	4.196157269
478	4.195698829
479	4.192907272
480	4.192088516
481	4.189899047
482	4.187748748
483	4.185030359
484	4.183833446
485	4.182230337
486	4.179888138
487	4.177690906
488	4.176439585
489	4.175832754
490	4.174177181
491	4.173355182
492	4.171237001
493	4.170391395
494	4.168655941
495	4.16813981
496	4.167374896
497	4.165322378
498	4.1648134
499	4.164298357
500	4.16264053
501	4.162019967
502	4.159805882
503	4.158283598
504	4.157041534
505	4.154881562
506	4.154156445
507	4.153528418
508	4.152260693
509	4.151567608
510	4.149571443
511	4.147905783
512	4.147476609
513	4.146985087
514	4.144793254
515	4.142859261
516	4.140604709
517	4.138728365
518	4.137571737
519	4.136329564
520	4.134485885
521	4.1340922
522	4.133695747
523	4.133063919
524	4.132338022
525	4.130191903
526	4.129383819
527	4.127708752
528	4.126602705
529	4.124063347
530	4.122531303
531	4.121719503
532	4.121326771
533	4.121007782
534	4.120551926
535	4.119882062
536	4.119382773
537	4.117564255
538	4.116103271
539	4.114847907
540	4.111516811
541	4.109462991
542	4.107709654
543	4.105823578
544	4.105178326
545	4.103454787
546	4.1024998
547	4.101992164
548	4.101533334
549	4.100778089
550	4.100287618
551	4.098222095
552	4.097779533
553	4.095772604
554	4.094545574
555	4.092888406
556	4.092433602
557	4.092055129
558	4.091786319
559	4.090599147
560	4.089873722
561	4.087168264
562	4.086462845
563	4.085267834
564	4.083608398
565	4.082922429
566	4.081607084
567	4.080329201
568	4.079423029
569	4.078756038
570	4.075658501
571	4.075201742
572	4.072691968
573	4.072232536
574	4.071067053
575	4.07041031
576	4.06787186
577	4.067459148
578	4.064933083
579	4.063322771
580	4.062698838
581	4.061205295
582	4.059629064
583	4.057641133
584	4.056033938
585	4.055668834
586	4.055067964
587	4.054168213
588	4.053721818
589	4.052647093
590	4.051516412
591	4.050768547
592	4.050333386
593	4.049609954
594	4.049346064
595	4.046891439
596	4.046250075
597	4.045560204
598	4.044680721
599	4.043943095
600	4.042925891
601	4.04227017
602	4.041893774
603	4.041639482
604	4.040539048
605	4.039703833
606	4.039029882
607	4.036582485
608	4.036278717
609	4.035582014
610	4.033994745
611	4.03353397
612	4.031479439
613	4.030844331
614	4.027880524
615	4.026190789
616	4.024543041
617	4.024088119
618	4.023762175
619	4.023191028
620	4.021329484
621	4.018426988
622	4.017319487
623	4.014994235
624	4.014575561
625	4.013695407
626	4.013320438
627	4.012915791
628	4.012563658
629	4.012135105
630	4.011478834
631	4.011304625
632	4.010974282
633	4.010689848
634	4.010328365
635	4.009727937
636	4.005940698
637	4.0057506
638	4.005271606
639	4.004090752
640	4.003078934
641	4.001579632
642	4.001227365
643	4.000313771
644	3.999732935
645	3.998153117
646	3.996704013
647	3.996493444
648	3.996261609
649	3.995217811
650	3.994255634
651	3.992600949
652	3.992421796
653	3.989752104
654	3.988238287
655	3.98792151
656	3.987333778
657	3.985746045
658	3.984863081
659	3.984593069
660	3.98425201
661	3.984010364
662	3.983671697
663	3.983230526
664	3.982231158
665	3.981051523
666	3.979531152
667	3.978580142
668	3.977932173
669	3.976558902
670	3.975040071
671	3.972811236
672	3.971035943
673	3.970484617
674	3.970150909
675	3.969832766
676	3.968357744
677	3.966797819
678	3.966569721
679	3.965120575
680	3.963214239
681	3.963019994
682	3.962302686
683	3.961989796
684	3.960895947
685	3.960382878
686	3.958862056
687	3.956163773
688	3.955895431
689	3.955577133
690	3.954439457
691	3.954183819
692	3.95308233
693	3.95160008
694	3.951352732
695	3.94965719
696	3.948745376
697	3.948395332
698	3.948048721
699	3.947437116
700	3.946824559
701	3.94642928
702	3.945994934
703	3.945652498
704	3.944754611
705	3.944375059
706	3.94411646
707	3.943578147
708	3.943109813
709	3.942431359
710	3.942138976
711	3.940442559
712	3.939826409
713	3.939577962
714	3.938209575
715	3.9379219
716	3.937600831
717	3.936538613
718	3.935971928
719	3.935339942
720	3.934725915
721	3.934125099
722	3.933925098
723	3.933142287
724	3.932093822
725	3.931113165
726	3.929470511
727	3.929193142
728	3.928798331
729	3.928240865
730	3.92766782
731	3.926767385
732	3.925967896
733	3.925426206
734	3.924714184
735	3.923105495
736	3.92259615
737	3.92236917
738	3.920620071
739	3.920314186
740	3.920097988
741	3.919862388
742	3.919333881
743	3.918161376
744	3.917672916
745	3.915851784
746	3.914073477
747	3.912497282
748	3.911157729
749	3.910992353
750	3.908442403
751	3.908250235
752	3.907703871
753	3.905990147
754	3.903392374
755	3.902488155
756	3.901931934
757	3.901093617
758	3.899010144
759	3.898885005
760	3.898247068
761	3.897298856
762	3.897037788
763	3.894623793
764	3.894383996
765	3.894091447
766	3.893978852
767	3.893072588
768	3.891133817
769	3.890683103
770	3.889532878
771	3.889085976
772	3.888686994
773	3.886991483
774	3.886180447
775	3.885768661
776	3.884491047
777	3.883911632
778	3.883661102
779	3.881647073
780	3.879641132
781	3.877338708
782	3.876819045
783	3.875974512
784	3.87511633
785	3.874898805
786	3.872553203
787	3.870979463
788	3.869316905
789	3.867715926
790	3.867348282
791	3.866547372
792	3.866207568
793	3.865684844
794	3.86540438
795	3.864509286
796	3.862626352
797	3.86180418
798	3.861626673
799	3.861351032
800	3.860906116
801	3.86066985
802	3.858820554
803	3.858157413
804	3.857592819
805	3.857066036
806	3.856201678
807	3.856091105
808	3.855524139
809	3.854205274
810	3.853828295
811	3.851679908
812	3.851245432
813	3.851107186
814	3.850928804
815	3.850341549
816	3.847848189
817	3.847236979
818	3.846485803
819	3.845651827
820	3.844053539
821	3.842759984
822	3.842294927
823	3.842067521
824	3.841703756
825	3.841450603
826	3.841039261
827	3.840566391
828	3.839042751
829	3.838804917
830	3.837016386
831	3.836760754
832	3.836617707
833	3.836474216
834	3.83493275
835	3.834733771
836	3.834531469
837	3.834224159
838	3.833393273
839	3.832435314
840	3.83038888
841	3.830061481
842	3.828575059
843	3.827300406
844	3.826834718
845	3.826479545
846	3.826258079
847	3.825774128
848	3.825670323
849	3.825109139
850	3.82384721
851	3.82354457
852	3.821840728
853	3.820430183
854	3.820228091
855	3.820118666
856	3.819280925
857	3.81903415
858	3.818791835
859	3.81725463
860	3.815753255
861	3.815514925
862	3.815260199
863	3.814560197
864	3.812857972
865	3.81090244
866	3.81050386
867	3.809544606
868	3.809341956
869	3.808112661
870	3.807881859
871	3.806683017
872	3.80621702
873	3.804694387
874	3.803271119
875	3.802836801
876	3.802349141
877	3.801417265
878	3.8007836
879	3.800557942
880	3.800336371
881	3.799810514
882	3.799702187
883	3.799325067
884	3.798619905
885	3.798186379
886	3.797981982
887	3.79773236
888	3.797061929
889	3.796558198
890	3.795798979
891	3.795485294
892	3.794066506
893	3.792502306
894	3.791726329
895	3.790220999
896	3.789479695
897	3.78900759
898	3.788287464
899	3.787764183
900	3.787316039
901	3.786546501
902	3.785332522
903	3.784569415
904	3.783835335
905	3.783609319
906	3.783423926
907	3.780970591
908	3.78032099
909	3.778417372
910	3.77766401
911	3.776150085
912	3.77595956
913	3.775666815
914	3.775150158
915	3.773614144
916	3.773024063
917	3.77281307
918	3.771616839
919	3.771099025
920	3.769741809
921	3.76815516
922	3.766520053
923	3.765343726
924	3.765156651
925	3.764997978
926	3.764211965
927	3.763743422
928	3.763122386
929	3.762824974
930	3.762689045
931	3.761909578
932	3.760753364
933	3.759400129
934	3.758679595
935	3.758294487
936	3.757661404
937	3.75718402
938	3.756979049
939	3.756396873
940	3.756058302
941	3.754618011
942	3.752850315
943	3.751525674
944	3.751398114
945	3.750953984
946	3.750399044
947	3.748931668
948	3.748822579
949	3.748629801
950	3.748211133
951	3.747613424
952	3.747228318
953	3.747108121
954	3.744780123
955	3.74429538
956	3.743850841
957	3.743735806
958	3.743214948
959	3.742453991
960	3.741313262
961	3.739759347
962	3.739490326
963	3.738034859
964	3.736928509
965	3.7368448
966	3.735466636
967	3.734726016
968	3.733603872
969	3.731888865
970	3.731218586
971	3.730986938
972	3.730308197
973	3.729475601
974	3.729267822
975	3.72885983
976	3.728625311
977	3.727203761
978	3.726537587
979	3.726075834
980	3.7256444
981	3.725459283
982	3.724774726
983	3.723687226
984	3.723101664
985	3.721686117
986	3.720856582
987	3.71976526
988	3.719557161
989	3.719206078
990	3.719015019
991	3.718743511
992	3.718576633
993	3.717504663
994	3.716769718
995	3.716343211
996	3.715907164
997	3.714853964
998	3.714331986
999	3.712931715
