iter	Passed	Remaining
0	0	791
1	1	706
2	2	687
3	2	673
4	3	668
5	4	664
6	4	663
7	5	700
8	6	705
9	7	702
10	7	699
11	8	693
12	8	673
13	9	670
14	10	669
15	10	667
16	11	665
17	12	663
18	12	661
19	13	659
20	14	658
21	14	656
22	15	654
23	16	652
24	16	652
25	17	651
26	18	649
27	18	649
28	19	648
29	20	648
30	20	653
31	21	654
32	22	653
33	22	652
34	23	650
35	24	648
36	24	648
37	25	647
38	26	650
39	27	650
40	27	650
41	28	649
42	29	648
43	29	647
44	30	646
45	31	645
46	31	644
47	32	643
48	33	642
49	33	640
50	34	639
51	34	635
52	35	635
53	36	634
54	36	633
55	37	632
56	38	632
57	38	631
58	39	629
59	40	629
60	40	628
61	41	627
62	42	626
63	42	626
64	43	625
65	44	624
66	44	624
67	45	623
68	46	622
69	46	622
70	47	622
71	48	621
72	48	620
73	49	619
74	50	620
75	51	620
76	51	620
77	52	619
78	53	618
79	53	617
80	54	617
81	55	616
82	55	616
83	56	616
84	57	615
85	57	614
86	58	613
87	59	612
88	59	611
89	60	610
90	61	610
91	61	609
92	62	608
93	63	607
94	63	606
95	64	606
96	65	606
97	65	606
98	66	605
99	67	604
100	67	603
101	68	602
102	69	602
103	69	602
104	70	601
105	71	600
106	71	599
107	72	599
108	73	598
109	73	597
110	74	596
111	75	596
112	75	595
113	76	594
114	77	593
115	77	593
116	78	592
117	79	591
118	79	590
119	80	590
120	81	589
121	81	589
122	82	588
123	83	587
124	83	587
125	84	586
126	85	585
127	85	585
128	86	584
129	87	583
130	87	582
131	88	582
132	89	581
133	89	580
134	90	579
135	91	578
136	91	578
137	92	577
138	93	576
139	93	575
140	94	575
141	95	575
142	95	575
143	96	574
144	97	573
145	98	573
146	98	573
147	99	572
148	100	571
149	100	570
150	101	569
151	102	569
152	102	568
153	103	567
154	103	566
155	104	565
156	105	565
157	105	564
158	106	563
159	107	562
160	107	561
161	108	561
162	109	560
163	109	560
164	110	559
165	111	559
166	111	558
167	112	557
168	113	556
169	113	556
170	114	555
171	115	554
172	115	553
173	116	553
174	117	552
175	117	551
176	118	550
177	119	550
178	119	549
179	120	548
180	121	547
181	121	546
182	122	546
183	122	545
184	123	544
185	123	542
186	124	541
187	125	541
188	126	540
189	126	540
190	127	539
191	128	538
192	128	537
193	129	537
194	129	536
195	130	535
196	131	535
197	131	534
198	132	533
199	133	532
200	133	532
201	134	531
202	135	530
203	135	529
204	136	529
205	137	528
206	137	527
207	138	527
208	139	526
209	139	526
210	140	525
211	141	524
212	141	523
213	142	523
214	143	522
215	143	521
216	144	520
217	145	520
218	145	519
219	146	519
220	147	518
221	147	517
222	148	516
223	148	516
224	149	515
225	150	514
226	150	514
227	151	513
228	152	512
229	153	512
230	153	511
231	154	511
232	154	509
233	156	510
234	156	510
235	157	509
236	158	508
237	158	508
238	159	507
239	160	507
240	160	506
241	161	505
242	162	505
243	162	504
244	163	503
245	164	502
246	164	502
247	165	501
248	165	500
249	166	499
250	167	499
251	167	498
252	168	498
253	169	497
254	170	497
255	170	496
256	171	495
257	172	495
258	172	494
259	173	493
260	174	493
261	174	492
262	175	491
263	176	491
264	176	490
265	177	489
266	178	488
267	178	488
268	179	487
269	180	487
270	180	486
271	181	486
272	182	485
273	182	484
274	183	483
275	184	483
276	185	482
277	185	482
278	186	481
279	187	481
280	187	480
281	188	479
282	189	479
283	189	478
284	190	477
285	191	477
286	191	476
287	192	475
288	193	474
289	193	474
290	194	473
291	194	472
292	195	471
293	196	471
294	197	470
295	197	470
296	198	469
297	199	469
298	199	468
299	200	467
300	201	467
301	201	466
302	202	465
303	203	464
304	203	464
305	204	463
306	205	462
307	205	462
308	206	461
309	207	460
310	207	460
311	208	459
312	208	458
313	209	457
314	210	457
315	210	456
316	211	455
317	212	455
318	212	454
319	213	453
320	214	453
321	215	452
322	215	452
323	216	451
324	217	450
325	217	450
326	218	449
327	219	448
328	219	448
329	220	447
330	221	446
331	221	446
332	222	445
333	223	444
334	223	443
335	224	443
336	224	442
337	225	441
338	226	441
339	226	440
340	227	439
341	228	439
342	228	438
343	229	438
344	230	437
345	231	436
346	231	436
347	232	435
348	233	434
349	233	434
350	234	433
351	235	432
352	235	432
353	236	431
354	237	430
355	237	430
356	238	429
357	238	428
358	239	427
359	240	427
360	240	426
361	241	425
362	242	425
363	242	424
364	243	423
365	244	423
366	245	422
367	245	421
368	246	421
369	246	420
370	247	419
371	248	419
372	248	418
